prompt,completion
tell me the exchange rate of rupee for dollar,10
what is donald trump's new policy on immigration,22
party beach,12
play music relating to the music i listened to this morning,45
has the weather changed for wednesday at all,13
what's your name,12
hey olly on the twentieth clear my calendar,30
what is five divided by one,39
i need a good chick flick any thoughts,55
could you please check if i am free on thursday afternoon if so add a reminder to go to the food festival,50
schedule my meeting with tom cruise today evening at six p. m.,50
alexa mark my calendar as unavailable today,50
what is the forecast,13
what's the closing price of a. b. c.,4
how much is the dollar verus the pound,10
need information about events before shift ends,32
play firefly by mura masa,45
ten am,50
i want the light to be switched off,40
mention the list,59
play the college baseball game,36
how me my last two emails,44
can i hear the fifty hits that you can hear on radios now,45
add shoes to my list,21
how to cook crabs,9
post that i am going to walmart for shopping,47
are there any events happening this weekend,6
delete all events and content from my calendar,30
tell me news from canada,22
delete the following list,53
alexa is traffic heavy on route eighty today,11
post the picture i just took on twitter,47
honda stock price,4
what has trump done now,22
let me know when charges hit my credit card,12
play a good movie on my television,36
show upcoming local events,6
tweet to consumer service that they should strive to be more accommodating,47
how much is a dollar worth compared to a yen,10
today's date,0
how was the traffic now,11
cancel the breakfast at tiffany's house,30
which place has more traffic,11
what's new in my email inbox,44
olly please make ke a coffee,56
olly let me know if i get a message about the party from jane,44
notify me when trump is in the news,22
when does olive garden close today,19
who is taylor swift,49
wake me up on friday at five in the morning i need to catch the train,48
tell me about the events near me,6
is the traffic smooth right now,11
please let me know about my birthday,50
can you please change the mood of the light,1
answer,12
play the latest pop song,45
tell me what is currently trending,22
delete my next meeting,30
please check and tell me about the reminders i have placed today,32
get route for los angles from here,42
turn on the radio to kiss f. m.,36
can you enter an event to my calendar,50
explain how u. s. a. social status differs from the one in the u. k. now and in the past,12
my mother needs the weekly weather sent to her,33
provide a joke,25
please add march fifth as john's birthday,50
do i have any lists,59
do i have an appointment next wednesday,32
donald trump,22
i would like to know the latest from n. b. c. news,22
how many contacts are there named john,17
i have a meeting tomorrow at five p. m. with the development team don't forget to remind me an hour earlier,50
and the pound is doing how badly against the euro,10
can i dry my clothes on the line,13
what is the name of that song that just went off,57
tweet to bank about non receipt of checkbook,47
write ten words on instagram,47
please schedule a meeting with brian billings in accounting,50
are there any alarms set,23
has anything happened to mass effect,22
place a takeaway order for a cheeseburger and fries from burger king,16
delete the dog list for me,53
do i have email from my friend rachel,44
check time of kalka train from jodhpur station on monday,42
olly dim the lights,31
remind me of the meeting on tuesday,50
please make a reminder for friday at six p. m.,50
change the house lights to pink,1
did i receive emails from this person,44
please check on the movies playing in theaters nearby,55
google who was the last president who didn't own a dog,49
what lists do i have saved,59
place alarm at five o'clock morning,48
show me the time in new york city,0
what are jalapenos,9
who is the song playing by,57
remove my alarm for tomorrow morning,52
find the best rock station near my location and turn it on,36
tell me about this person,12
am i busy today,32
schedule a reminder on fifteenth march and input name as meeting,50
if i call mike in california at six p. m. what will his time be,38
stream all songs from rock,45
write a tweet telling macy's that they should be shutting down instead of jcpenney,47
how many new emails since i last checked,44
i need directions to lowes in mount h. nj,42
tell me later to file the invoice,50
what the weather going to be in n. y. c. next week,13
alert me of an email from dave about the meeting,44
